time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-30 11:27:38.217	WTbob(8021AB414BBE)	5	7	8	0.016	0.000	0.000	22	114	55	19	17	17	12.19	10057.2.3	100
2025-3-30 11:27:38.277	WTbob(8021AB414BBE)	4	17	14	0.022	0.005	0.000	49	114	81	19	17	17	11.94	10057.2.3	100
2025-3-30 11:27:38.397	WTbob(8021AB414BBE)	3	6	5	0.005	0.005	0.000	34	56	50	19	17	17	12.31	10057.2.3	100
2025-3-30 11:27:38.487	WTbob(8021AB414BBE)	6	5	6	0.011	0.011	0.005	13	32	28	19	17	17	11.87	10057.2.3	100
2025-3-30 11:27:38.607	WTbob(8021AB414BBE)	1	12	16	0.022	0.005	0.022	47	92	122	19	17	17	12.00	10057.2.3	100
2025-3-30 11:27:38.698	WTbob(8021AB414BBE)	2	7	6	0.005	0.000	0.005	39	73	40	19	17	17	12.00	10057.2.3	100
2025-3-30 11:27:38.817	WTbob(8021AB414BBE)	1	12	4	0.005	0.000	0.000	10	69	32	19	17	17	11.94	10057.2.3	100
2025-3-30 11:27:38.907	WTbob(8021AB414BBE)	3	11	9	0.016	0.000	0.005	9	114	54	19	17	17	12.06	10057.2.3	100
2025-3-30 11:27:39.27	WTbob(8021AB414BBE)	5	9	9	0.005	0.005	0.011	16	47	75	19	17	17	12.06	10057.2.3	100
2025-3-30 11:27:39.88	WTbob(8021AB414BBE)	2	5	6	0.005	0.005	0.000	21	18	15	16	16	17	12.19	10057.2.3	100
2025-3-30 11:27:39.207	WTbob(8021AB414BBE)	4	4	3	0.000	0.000	0.000	4	19	14	16	16	17	12.12	10057.2.3	100
2025-3-30 11:27:39.297	WTbob(8021AB414BBE)	4	6	2	0.011	0.016	0.016	11	22	72	16	16	17	12.12	10057.2.3	100
2025-3-30 11:27:39.417	WTbob(8021AB414BBE)	7	7	13	0.011	0.011	0.022	16	72	81	16	16	17	11.87	10057.2.3	100
2025-3-30 11:27:39.509	WTbob(8021AB414BBE)	1	22	15	0.082	0.005	0.027	56	155	94	16	16	17	12.12	10057.2.3	100
2025-3-30 11:27:39.627	WTbob(8021AB414BBE)	2	24	6	0.049	0.016	0.011	35	180	144	16	16	17	12.00	10057.2.3	100
2025-3-30 11:27:39.688	WTbob(8021AB414BBE)	2	47	18	0.000	0.011	0.011	55	362	188	16	16	17	12.00	10057.2.3	100
2025-3-30 11:27:39.807	WTbob(8021AB414BBE)	12	11	10	0.033	0.000	0.005	21	274	139	16	16	17	12.00	10057.2.3	100
2025-3-30 11:27:39.898	WTbob(8021AB414BBE)	6	2	14	0.016	0.000	0.005	82	92	77	16	16	17	12.12	10057.2.3	100
2025-3-30 11:27:40.17	WTbob(8021AB414BBE)	5	3	12	0.011	0.011	0.022	41	50	74	16	16	17	11.94	10057.2.3	100
2025-3-30 11:27:40.138	WTbob(8021AB414BBE)	3	3	9	0.000	0.000	0.005	27	4	76	15	15	17	12.12	10057.2.3	100
2025-3-30 11:27:40.228	WTbob(8021AB414BBE)	1	14	7	0.005	0.011	0.000	14	177	49	15	15	17	12.06	10057.2.3	100
2025-3-30 11:27:40.318	WTbob(8021AB414BBE)	4	9	10	0.016	0.016	0.005	8	19	87	15	15	17	12.19	10057.2.3	100
2025-3-30 11:27:40.437	WTbob(8021AB414BBE)	3	17	6	0.011	0.005	0.011	17	124	50	15	15	17	12.19	10057.2.3	100
2025-3-30 11:27:40.498	WTbob(8021AB414BBE)	4	7	10	0.000	0.000	0.016	22	53	42	15	15	17	12.12	10057.2.3	100
2025-3-30 11:27:40.618	WTbob(8021AB414BBE)	7	14	4	0.011	0.000	0.011	22	203	79	15	15	17	12.06	10057.2.3	100
2025-3-30 11:27:40.707	WTbob(8021AB414BBE)	3	9	5	0.005	0.000	0.011	18	57	34	15	15	17	12.12	10057.2.3	100
2025-3-30 11:27:40.827	WTbob(8021AB414BBE)	3	4	6	0.011	0.016	0.005	43	13	57	15	15	17	12.12	10057.2.3	100
2025-3-30 11:27:40.949	WTbob(8021AB414BBE)	2	14	6	0.011	0.011	0.000	16	84	28	15	15	17	12.06	10057.2.3	100
2025-3-30 11:27:41.51	WTbob(8021AB414BBE)	1	13	5	0.000	0.011	0.011	14	156	43	15	15	17	12.12	10057.2.3	100
2025-3-30 11:27:41.128	WTbob(8021AB414BBE)	3	4	4	0.000	0.011	0.016	26	114	58	16	15	17	12.12	10057.2.3	100
2025-3-30 11:27:41.247	WTbob(8021AB414BBE)	2	6	5	0.005	0.000	0.011	19	39	36	16	15	17	12.19	10057.2.3	100
2025-3-30 11:27:41.307	WTbob(8021AB414BBE)	3	9	5	0.005	0.005	0.000	10	103	19	16	15	17	12.12	10057.2.3	100
2025-3-30 11:27:41.427	WTbob(8021AB414BBE)	3	2	9	0.005	0.011	0.005	19	42	66	16	15	17	12.06	10057.2.3	100
2025-3-30 11:27:41.517	WTbob(8021AB414BBE)	4	5	5	0.000	0.011	0.016	25	16	21	16	15	17	11.94	10057.2.3	100
2025-3-30 11:27:41.637	WTbob(8021AB414BBE)	4	6	5	0.005	0.011	0.011	35	84	20	16	15	17	12.12	10057.2.3	100
2025-3-30 11:27:41.727	WTbob(8021AB414BBE)	2	12	2	0.000	0.005	0.011	38	93	8	16	15	17	12.06	10057.2.3	100
2025-3-30 11:27:41.847	WTbob(8021AB414BBE)	3	9	2	0.005	0.000	0.011	16	36	43	16	15	17	11.87	10057.2.3	100
2025-3-30 11:27:41.907	WTbob(8021AB414BBE)	5	21	6	0.005	0.000	0.000	32	148	19	16	15	17	11.94	10057.2.3	100
2025-3-30 11:27:42.29	WTbob(8021AB414BBE)	2	26	8	0.016	0.011	0.005	22	175	58	16	15	17	12.31	10057.2.3	100
2025-3-30 11:27:42.118	WTbob(8021AB414BBE)	4	9	3	0.005	0.000	0.000	9	40	26	15	13	17	12.38	10057.2.3	100
2025-3-30 11:27:42.238	WTbob(8021AB414BBE)	3	3	2	0.011	0.005	0.016	27	23	26	15	13	17	12.00	10057.2.3	100
2025-3-30 11:27:42.327	WTbob(8021AB414BBE)	2	5	5	0.011	0.000	0.000	18	30	28	15	13	17	12.00	10057.2.3	100
2025-3-30 11:27:42.448	WTbob(8021AB414BBE)	7	2	3	0.000	0.005	0.000	4	40	13	15	13	17	12.19	10057.2.3	100
2025-3-30 11:27:42.509	WTbob(8021AB414BBE)	3	11	15	0.027	0.011	0.005	46	92	93	15	13	17	11.87	10057.2.3	100
2025-3-30 11:27:42.629	WTbob(8021AB414BBE)	3	5	5	0.011	0.005	0.005	19	28	38	15	13	17	12.06	10057.2.3	100
2025-3-30 11:27:42.717	WTbob(8021AB414BBE)	1	16	7	0.000	0.000	0.005	38	152	73	15	13	17	12.06	10057.2.3	100
